value,id,gender
155,Marie,w
131,Sophie,w
92,Maria,w
84,Maximilian,m
83,Alexander,m
74,Johanna,w
71,Jonas,m
69,Noah,m
66,Sophia,w
62,Charlotte,w
60,Felix,m
60,Anna,w
58,Paul,m
56,Emilia,w
56,Anton,m
55,Mia,w
54,Elias,m
54,Ben,m
47,Jonathan,m
46,Emma,w
44,Lina,w
44,Leon,m
41,Jakob,m
40,David,m
38,Lena,w
38,Elisabeth,w
37,Leonard,m
36,Katharina,w
36,Julian,m
36,Benjamin,m
35,Luisa,w
35,Jan,m
35,Emil,m
33,Philipp,m
33,Mila,w
33,Max,m
33,Lukas,m
33,Leonie,w
32,Niklas,m
32,Johann,m
32,Ida,w
32,Clara,w
31,Paula,w
31,Louis,m
31,Leo,m
31,Laura,w
30,Luise,w
29,Sofia,w
29,Moritz,m
29,Lea,w
28,Tim,m
28,Julius,m
28,Daniel,m
27,Mats,m
27,Marlene,w
27,Leni,w
26,Theo,m
26,Theodor,m
26,Oskar,m
26,Milan,m
26,Johannes,m
26,Greta,w
25,Victoria,w
24,Sarah,w
24,Hanna,w
24,Amelie,w
23,Viktoria,w
23,Mathilda,w
23,Martin,m
23,Luca,m
23,Lara,w
23,Julia,w
23,Josefine,w
23,Ali,m
22,Vincent,m
22,Valentin,m
22,Tom,m
22,Michael,m
22,Luis,m
22,Lotta,w
22,Liam,m
22,Hannah,w
22,Ella,w
21,Samuel,m
21,Lisa,w
21,Karl,m
21,Henri,m
21,Elisa,w
21,Adam,m
20,Wilhelm,m
20,Maxim,m
20,Finn,m
20,Emily,w
20,Benedikt,m
20,Antonia,w
19,Simon,m
19,Klara,w
19,Josef,m
19,Jana,w
19,Henry,m
19,Gabriel,m
19,Florian,m
19,Adrian,m
18,Peter,m
18,Nora,w
18,Nele,w
18,Linus,m
17,Mira,w
17,Maya,w
17,Frieda,w
17,Christian,m
16,Yusuf,m
16,Robin,m
16,Mohamed,m
16,Frida,w
16,Fabian,m
16,Carl,m
16,Aaron,m
15,Timo,m
15,Sebastian,m
15,Justus,m
14,Tobias,m
14,Theresa,w
14,Sara,w
14,Raphael,m
14,Ole,m
14,Eva,w
14,Emilian,m
14,Clemens,m
13,Matilda,w
13,Louisa,w
13,Joshua,m
13,Ibrahim,m
13,Hannes,m
13,Carlotta,w
13,Ava,w
12,Pauline,w
12,Nicolas,m
12,Mina,w
12,Mika,m
12,Maja,w
12,Lia,w
12,Josephine,w
12,Jonah,m
12,Joel,m
12,Jacob,m
12,Fynn,m
12,Friedrich,m
12,Frederik,m
12,Erik,m
12,Annika,w
12,Alexandra,w
11,Valentina,w
11,Sofie,w
11,Muhammed,m
11,Merle,w
11,Melina,w
11,Matteo,m
11,Linda,w
11,Lian,m
11,Levi,m
11,Konstantin,m
11,Jannis,m
11,Flora,w
11,Emilio,m
11,Alina,w
11,Ahmed,m
10,Rafael,m
10,Paulina,w
10,Nils,m
10,Malik,m
10,Juna,w
10,Isabella,w
10,Helene,w
10,Fritz,m
10,Franziska,w
10,Emilie,m
10,Elina,w
10,Elena,w
10,Arthur,m
